host, subject, issuer, notBefore, notAfter, basicConstraints, sha1Fingerprint
"acs2.sbrf.ru","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","Sep 21 00:00:00 2016 GMT","Sep 21 00:00:00 2026 GMT","CA:TRUE, pathlen:0 critical","60:23:19:2F:E7:B5:9D:27:89:13:0A:9F:E4:09:4F:9B:55:70:D4:A2"
"acs2.sbrf.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","Sep 19 00:00:00 2018 GMT","Jan 28 12:00:00 2028 GMT","CA:TRUE critical","0B:BF:AB:97:05:95:95:E8:D1:EC:48:E8:9E:B8:65:7C:0E:5A:AE:71"
"acs2.sbrf.ru","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","Sep  1 12:00:00 1998 GMT","Jan 28 12:00:00 2028 GMT","CA:TRUE critical","B1:BC:96:8B:D4:F4:9D:62:2A:A8:9A:81:F2:15:01:52:A4:1D:82:9C"
"acs3.sbrf.ru","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","Sep 21 00:00:00 2016 GMT","Sep 21 00:00:00 2026 GMT","CA:TRUE, pathlen:0 critical","60:23:19:2F:E7:B5:9D:27:89:13:0A:9F:E4:09:4F:9B:55:70:D4:A2"
"acs3.sbrf.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","Sep 19 00:00:00 2018 GMT","Jan 28 12:00:00 2028 GMT","CA:TRUE critical","0B:BF:AB:97:05:95:95:E8:D1:EC:48:E8:9E:B8:65:7C:0E:5A:AE:71"
"acs3.sbrf.ru","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","Sep  1 12:00:00 1998 GMT","Jan 28 12:00:00 2028 GMT","CA:TRUE critical","B1:BC:96:8B:D4:F4:9D:62:2A:A8:9A:81:F2:15:01:52:A4:1D:82:9C"
"acs4.sbrf.ru","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","Sep 21 00:00:00 2016 GMT","Sep 21 00:00:00 2026 GMT","CA:TRUE, pathlen:0 critical","60:23:19:2F:E7:B5:9D:27:89:13:0A:9F:E4:09:4F:9B:55:70:D4:A2"
"acs4.sbrf.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","Sep 19 00:00:00 2018 GMT","Jan 28 12:00:00 2028 GMT","CA:TRUE critical","0B:BF:AB:97:05:95:95:E8:D1:EC:48:E8:9E:B8:65:7C:0E:5A:AE:71"
"acs4.sbrf.ru","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","Sep  1 12:00:00 1998 GMT","Jan 28 12:00:00 2028 GMT","CA:TRUE critical","B1:BC:96:8B:D4:F4:9D:62:2A:A8:9A:81:F2:15:01:52:A4:1D:82:9C"
"acs5.sbrf.ru","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","Sep 21 00:00:00 2016 GMT","Sep 21 00:00:00 2026 GMT","CA:TRUE, pathlen:0 critical","60:23:19:2F:E7:B5:9D:27:89:13:0A:9F:E4:09:4F:9B:55:70:D4:A2"
"acs5.sbrf.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","Sep 19 00:00:00 2018 GMT","Jan 28 12:00:00 2028 GMT","CA:TRUE critical","0B:BF:AB:97:05:95:95:E8:D1:EC:48:E8:9E:B8:65:7C:0E:5A:AE:71"
"acs5.sbrf.ru","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","Sep  1 12:00:00 1998 GMT","Jan 28 12:00:00 2028 GMT","CA:TRUE critical","B1:BC:96:8B:D4:F4:9D:62:2A:A8:9A:81:F2:15:01:52:A4:1D:82:9C"
"acs6.sbrf.ru","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","Sep 21 00:00:00 2016 GMT","Sep 21 00:00:00 2026 GMT","CA:TRUE, pathlen:0 critical","60:23:19:2F:E7:B5:9D:27:89:13:0A:9F:E4:09:4F:9B:55:70:D4:A2"
"acs6.sbrf.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","Sep 19 00:00:00 2018 GMT","Jan 28 12:00:00 2028 GMT","CA:TRUE critical","0B:BF:AB:97:05:95:95:E8:D1:EC:48:E8:9E:B8:65:7C:0E:5A:AE:71"
"acs6.sbrf.ru","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","Sep  1 12:00:00 1998 GMT","Jan 28 12:00:00 2028 GMT","CA:TRUE critical","B1:BC:96:8B:D4:F4:9D:62:2A:A8:9A:81:F2:15:01:52:A4:1D:82:9C"
"acs7.sbrf.ru","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","Sep 21 00:00:00 2016 GMT","Sep 21 00:00:00 2026 GMT","CA:TRUE, pathlen:0 critical","60:23:19:2F:E7:B5:9D:27:89:13:0A:9F:E4:09:4F:9B:55:70:D4:A2"
"acs7.sbrf.ru","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","Sep  1 12:00:00 1998 GMT","Jan 28 12:00:00 2028 GMT","CA:TRUE critical","B1:BC:96:8B:D4:F4:9D:62:2A:A8:9A:81:F2:15:01:52:A4:1D:82:9C"
"acs8.sbrf.ru","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","Sep 21 00:00:00 2016 GMT","Sep 21 00:00:00 2026 GMT","CA:TRUE, pathlen:0 critical","60:23:19:2F:E7:B5:9D:27:89:13:0A:9F:E4:09:4F:9B:55:70:D4:A2"
"acs8.sbrf.ru","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","Sep  1 12:00:00 1998 GMT","Jan 28 12:00:00 2028 GMT","CA:TRUE critical","B1:BC:96:8B:D4:F4:9D:62:2A:A8:9A:81:F2:15:01:52:A4:1D:82:9C"
"acs9.sbrf.ru","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","Sep 21 00:00:00 2016 GMT","Sep 21 00:00:00 2026 GMT","CA:TRUE, pathlen:0 critical","60:23:19:2F:E7:B5:9D:27:89:13:0A:9F:E4:09:4F:9B:55:70:D4:A2"
"acs9.sbrf.ru","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","Sep  1 12:00:00 1998 GMT","Jan 28 12:00:00 2028 GMT","CA:TRUE critical","B1:BC:96:8B:D4:F4:9D:62:2A:A8:9A:81:F2:15:01:52:A4:1D:82:9C"
"acs10.sbrf.ru","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","Sep 21 00:00:00 2016 GMT","Sep 21 00:00:00 2026 GMT","CA:TRUE, pathlen:0 critical","60:23:19:2F:E7:B5:9D:27:89:13:0A:9F:E4:09:4F:9B:55:70:D4:A2"
"acs10.sbrf.ru","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","Sep  1 12:00:00 1998 GMT","Jan 28 12:00:00 2028 GMT","CA:TRUE critical","B1:BC:96:8B:D4:F4:9D:62:2A:A8:9A:81:F2:15:01:52:A4:1D:82:9C"
"online.sberbank.ru","CN=Thawte EV RSA CA 2018; OU=www.digicert.com; O=DigiCert Inc; C=US","CN=Thawte EV RSA CA 2018; OU=www.digicert.com; O=DigiCert Inc; C=US","Nov  6 12:22:57 2017 GMT","Nov  6 12:22:57 2027 GMT","CA:TRUE, pathlen:0 critical","9E:84:8F:52:57:5C:6B:1A:69:D6:AB:62:E0:28:8B:FA:D4:A5:56:4E"
"online.sberbank.ru","CN=Thawte EV RSA CA 2018; OU=www.digicert.com; O=DigiCert Inc; C=US","CN=Thawte EV RSA CA 2018; OU=www.digicert.com; O=DigiCert Inc; C=US","Nov  6 12:22:57 2017 GMT","Nov  6 12:22:57 2027 GMT","CA:TRUE, pathlen:0 critical","9E:84:8F:52:57:5C:6B:1A:69:D6:AB:62:E0:28:8B:FA:D4:A5:56:4E"
"webquik.sberbank.ru","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","Sep 21 00:00:00 2016 GMT","Sep 21 00:00:00 2026 GMT","CA:TRUE, pathlen:0 critical","60:23:19:2F:E7:B5:9D:27:89:13:0A:9F:E4:09:4F:9B:55:70:D4:A2"
"webquik.sberbank.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","Mar 18 10:00:00 2009 GMT","Mar 18 10:00:00 2029 GMT","CA:TRUE critical","D6:9B:56:11:48:F0:1C:77:C5:45:78:C1:09:26:DF:5B:85:69:76:AD"
"sbi.sberbank.ru","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","Sep 21 00:00:00 2016 GMT","Sep 21 00:00:00 2026 GMT","CA:TRUE, pathlen:0 critical","60:23:19:2F:E7:B5:9D:27:89:13:0A:9F:E4:09:4F:9B:55:70:D4:A2"
"sbi.sberbank.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","Mar 18 10:00:00 2009 GMT","Mar 18 10:00:00 2029 GMT","CA:TRUE critical","D6:9B:56:11:48:F0:1C:77:C5:45:78:C1:09:26:DF:5B:85:69:76:AD"
"sbibz.sberbank.ru","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","Sep 21 00:00:00 2016 GMT","Sep 21 00:00:00 2026 GMT","CA:TRUE, pathlen:0 critical","60:23:19:2F:E7:B5:9D:27:89:13:0A:9F:E4:09:4F:9B:55:70:D4:A2"
"sbibz.sberbank.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","Mar 18 10:00:00 2009 GMT","Mar 18 10:00:00 2029 GMT","CA:TRUE critical","D6:9B:56:11:48:F0:1C:77:C5:45:78:C1:09:26:DF:5B:85:69:76:AD"
"direct.sbbolmobile.sberbank.ru","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","Sep 21 00:00:00 2016 GMT","Sep 21 00:00:00 2026 GMT","CA:TRUE, pathlen:0 critical","60:23:19:2F:E7:B5:9D:27:89:13:0A:9F:E4:09:4F:9B:55:70:D4:A2"
"direct.sbbolmobile.sberbank.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","Sep 19 00:00:00 2018 GMT","Jan 28 12:00:00 2028 GMT","CA:TRUE critical","0B:BF:AB:97:05:95:95:E8:D1:EC:48:E8:9E:B8:65:7C:0E:5A:AE:71"
"direct.sbbolmobile.sberbank.ru","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Root CA; OU=Root CA; O=GlobalSign nv-sa; C=BE","Sep  1 12:00:00 1998 GMT","Jan 28 12:00:00 2028 GMT","CA:TRUE critical","B1:BC:96:8B:D4:F4:9D:62:2A:A8:9A:81:F2:15:01:52:A4:1D:82:9C"
"sbbolmobile.sberbank.ru","CN=Thawte EV RSA CA 2018; OU=www.digicert.com; O=DigiCert Inc; C=US","CN=Thawte EV RSA CA 2018; OU=www.digicert.com; O=DigiCert Inc; C=US","Nov  6 12:22:57 2017 GMT","Nov  6 12:22:57 2027 GMT","CA:TRUE, pathlen:0 critical","9E:84:8F:52:57:5C:6B:1A:69:D6:AB:62:E0:28:8B:FA:D4:A5:56:4E"
"sbbolmobile.sberbank.ru","CN=DigiCert High Assurance EV Root CA; OU=www.digicert.com; O=DigiCert Inc; C=US","CN=DigiCert High Assurance EV Root CA; OU=www.digicert.com; O=DigiCert Inc; C=US","Nov 10 00:00:00 2006 GMT","Nov 10 00:00:00 2031 GMT","CA:TRUE critical","5F:B7:EE:06:33:E2:59:DB:AD:0C:4C:9A:E6:D3:8F:1A:61:C7:DC:25"
"www.pokupay.ru","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","Nov 21 00:00:00 2018 GMT","Nov 21 00:00:00 2028 GMT","CA:TRUE, pathlen:0 critical","DF:E8:30:23:06:2B:99:76:82:70:8B:4E:AB:8E:81:9A:FF:5D:97:75"
"www.pokupay.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","Mar 18 10:00:00 2009 GMT","Mar 18 10:00:00 2029 GMT","CA:TRUE critical","D6:9B:56:11:48:F0:1C:77:C5:45:78:C1:09:26:DF:5B:85:69:76:AD"
"promo.sber.ru","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","Nov 21 00:00:00 2018 GMT","Nov 21 00:00:00 2028 GMT","CA:TRUE, pathlen:0 critical","DF:E8:30:23:06:2B:99:76:82:70:8B:4E:AB:8E:81:9A:FF:5D:97:75"
"promo.sber.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","Mar 18 10:00:00 2009 GMT","Mar 18 10:00:00 2029 GMT","CA:TRUE critical","D6:9B:56:11:48:F0:1C:77:C5:45:78:C1:09:26:DF:5B:85:69:76:AD"
"sberbank.com","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","Sep 21 00:00:00 2016 GMT","Sep 21 00:00:00 2026 GMT","CA:TRUE, pathlen:0 critical","60:23:19:2F:E7:B5:9D:27:89:13:0A:9F:E4:09:4F:9B:55:70:D4:A2"
"www.sberbank.com","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","Sep 21 00:00:00 2016 GMT","Sep 21 00:00:00 2026 GMT","CA:TRUE, pathlen:0 critical","60:23:19:2F:E7:B5:9D:27:89:13:0A:9F:E4:09:4F:9B:55:70:D4:A2"
"sberbank.ru","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","Nov 21 00:00:00 2018 GMT","Nov 21 00:00:00 2028 GMT","CA:TRUE, pathlen:0 critical","DF:E8:30:23:06:2B:99:76:82:70:8B:4E:AB:8E:81:9A:FF:5D:97:75"
"www.sberbank.ru","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","Nov 21 00:00:00 2018 GMT","Nov 21 00:00:00 2028 GMT","CA:TRUE, pathlen:0 critical","DF:E8:30:23:06:2B:99:76:82:70:8B:4E:AB:8E:81:9A:FF:5D:97:75"
"sberbank1.ru","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","Sep 21 00:00:00 2016 GMT","Sep 21 00:00:00 2026 GMT","CA:TRUE, pathlen:0 critical","60:23:19:2F:E7:B5:9D:27:89:13:0A:9F:E4:09:4F:9B:55:70:D4:A2"
"www.sberbank1.ru","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","CN=GlobalSign Extended Validation CA - SHA256 - G3; O=GlobalSign nv-sa; C=BE","Sep 21 00:00:00 2016 GMT","Sep 21 00:00:00 2026 GMT","CA:TRUE, pathlen:0 critical","60:23:19:2F:E7:B5:9D:27:89:13:0A:9F:E4:09:4F:9B:55:70:D4:A2"
"sberprime.sber.ru","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","Nov 21 00:00:00 2018 GMT","Nov 21 00:00:00 2028 GMT","CA:TRUE, pathlen:0 critical","DF:E8:30:23:06:2B:99:76:82:70:8B:4E:AB:8E:81:9A:FF:5D:97:75"
"sberprime.sber.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R3","Mar 18 10:00:00 2009 GMT","Mar 18 10:00:00 2029 GMT","CA:TRUE critical","D6:9B:56:11:48:F0:1C:77:C5:45:78:C1:09:26:DF:5B:85:69:76:AD"
"sberbank-ru.os-psi.sberbank.ru","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","Nov 21 00:00:00 2018 GMT","Nov 21 00:00:00 2028 GMT","CA:TRUE, pathlen:0 critical","DF:E8:30:23:06:2B:99:76:82:70:8B:4E:AB:8E:81:9A:FF:5D:97:75"
"www.sberbank-ru.os-psi.sberbank.ru","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","Nov 21 00:00:00 2018 GMT","Nov 21 00:00:00 2028 GMT","CA:TRUE, pathlen:0 critical","DF:E8:30:23:06:2B:99:76:82:70:8B:4E:AB:8E:81:9A:FF:5D:97:75"
"sberbank-com.os-psi.sberbank.ru","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","Nov 21 00:00:00 2018 GMT","Nov 21 00:00:00 2028 GMT","CA:TRUE, pathlen:0 critical","DF:E8:30:23:06:2B:99:76:82:70:8B:4E:AB:8E:81:9A:FF:5D:97:75"
"www.sberbank-com.os-psi.sberbank.ru","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","Nov 21 00:00:00 2018 GMT","Nov 21 00:00:00 2028 GMT","CA:TRUE, pathlen:0 critical","DF:E8:30:23:06:2B:99:76:82:70:8B:4E:AB:8E:81:9A:FF:5D:97:75"
"sberbank1-ru.os-psi.sberbank.ru","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","CN=GlobalSign RSA OV SSL CA 2018; O=GlobalSign nv-sa; C=BE","Nov 21 00:00:00 2018 GMT","Nov 21 00:00:00 2028 GMT","CA:TRUE, pathlen:0 critical","DF:E8:30:23:06:2B:99:76:82:70:8B:4E:AB:8E:81:9A:FF:5D:97:75"
